Nº do cliente;Safra;Estado;Renda Mensal;Endividamento;Quantidade de Cheques sem Fundo;Quantidade de Restritivos;Valor dos Restritivos;Quantidade de Protestos;Valor dos Protestos;Modelo Score 1;Modelo Score 2;Modelo Score 3;Modelo Score 4;Performance 30D3M EVER;Performance 60D6M EVER;Performance 60D9M EVER;Performance 90D9M EVER;Performance 90D12M EVER
753154196;2020-09-01 00:00:00 UTC;RS;4143;Até 25%;0;0;0;0;0;505;607;435;740;BOM;BOM;MAU;MAU;
359051464;2020-10-01 00:00:00 UTC;RS;1810;Até 25%;0;0;0;0;0;842;761;776;690;BOM;BOM;;;
312528830;2020-07-01 00:00:00 UTC;SP;3492;Até 25%;0;0;0;0;0;454;590;433;629;BOM;BOM;MAU;BOM;
720393493;2020-09-01 00:00:00 UTC;PR;4664;Até 25%;0;0;0;0;0;621;600;656;732;MAU;BOM;BOM;BOM;
202068021;2020-08-01 00:00:00 UTC;BA;3492;Acima de 100%;0;5;6393;0;0;2;225;172;426;BOM;BOM;BOM;BOM;
718932049;2020-05-01 00:00:00 UTC;BA;3366;Até 25%;0;0;0;0;0;795;698;779;839;BOM;BOM;BOM;BOM;BOM
1089408103;2020-05-01 00:00:00 UTC;RJ;3883;Até 25%;0;0;0;0;0;856;706;861;824;BOM;BOM;BOM;BOM;BOM
1114983373;2020-08-01 00:00:00 UTC;MS;3563;Até 25%;0;0;0;0;0;875;634;617;863;BOM;BOM;BOM;BOM;
583383118;2020-08-01 00:00:00 UTC;SP;3492;Até 25%;0;0;0;0;0;491;601;475;642;BOM;BOM;BOM;BOM;
660839650;2020-08-01 00:00:00 UTC;SP;1509;Até 25%;0;1;89;0;0;171;247;243;578;BOM;BOM;BOM;BOM;
598850067;2020-09-01 00:00:00 UTC;TO;1041;Até 25%;0;0;0;0;0;444;642;501;561;BOM;BOM;BOM;BOM;
1086728789;2020-09-01 00:00:00 UTC;SC;3492;Até 25%;0;0;0;0;0;547;688;624;695;BOM;BOM;BOM;BOM;
545142000;2020-07-01 00:00:00 UTC;GO;3492;Até 25%;0;0;0;0;0;329;628;380;665;BOM;BOM;BOM;BOM;
868851846;2020-10-01 00:00:00 UTC;SP;4409;Até 25%;0;0;0;0;0;747;712;835;880;BOM;BOM;;;
198657985;2020-05-01 00:00:00 UTC;SP;3439;Acima de 100%;0;12;47893;0;0;175;241;250;839;BOM;BOM;BOM;BOM;MAU
706875136;2020-05-01 00:00:00 UTC;MG;2913;Até 25%;0;0;0;0;0;640;624;472;888;BOM;BOM;BOM;BOM;BOM
